category,channel_id,channel_name,rank,slug,started,subscribers,video_count,video_views
Science & Technology,UC4I8H3mVdF9_JfbzmB7kbCA,SKY CHANNEL,1,sky-channel-4883a1b5-2e5a-4833-80a4-474e8905f322,2021,"10,300,000",106,"5,430,377,994"
Science & Technology,UCgcm5qPCEeaJ9xM50LS7GGg,Tiền Zombie v4,8,ti-n-zombie-v4,2015,"2,470,000","1,181","908,857,474"
Science & Technology,UCyQobySFx_h9oFwsBV0KGdg,Tinh tế,11,tinh-t,2009,"1,020,000","13,814","590,605,249"
Science & Technology,UCDri2yZO_tqdD70bK-D7iQg,AnhEm TV,9,sforum-channel-vn,2012,"1,520,000","2,599","903,431,239"
Science & Technology,UCtnIG6vdEJv5nzvr4cWzUaQ,Koha Discovery,7,koha-discovery,2015,"1,040,000",382,"1,098,425,674"
Science & Technology,UCilo7PrAr98E2yhUlh5AmEA,MobileCity,12,mobilecity,2019,"391,000","7,074","440,262,430"
Science & Technology,UC0fr7L8Q0W0_Nsn6uv7fpzA,Amazing tools,2,amazing-tools,2022,"5,570,000",242,"5,177,773,305"
Science & Technology,UCvJ8leyn7YWgqmbmw1R5ZVg,Dương Dê,5,d-ng-de,2018,"2,600,000","9,598","2,872,377,725"
Science & Technology,UC9Pj0EUibBF295jWHRSDJqg,Schannel,4,schannel,2009,"3,960,000","13,791","3,459,369,361"
Science & Technology,UCEeXA5Tu7n9X5_zkOgGsyww,Vật Vờ Studio,6,vinh-v-t-v,2009,"2,320,000","7,157","1,172,246,148"
Science & Technology,UC35gdWUdW1hzgS02Oz8kMUQ,CD Media - Quân Sự,15,cdteam-ki-n-th-c-quan-s,2010,"905,000","1,316","359,859,607"
Science & Technology,UCSGD1TbYm5ZEZtGKQlkZ69A,Samsung Vietnam,3,samsungvietnam,2011,"2,260,000","2,881","3,903,449,855"
Science & Technology,UC0hOiSWbbkNTp_Yu-0WIUEQ,Mechanical Equipment,10,c-a-hang-v-t-t,2019,"802,000",560,"836,893,634"
